Time [s],date,Altitude [m],Altitude [km],Lat [deg],Lon [deg],Velocity [k/s],Downrange [m],Downrange [km],v_x,v_y,FPA (rad),FPA (deg),rho,a_drag,n,dv_drag,dv_drag_x,dv_drag_y,dv_grav_y,dv_orb_y,dv_lift_x,dv_lift_y,dv_net_x,dv_net_y,h,p_amb,Ma,p_dyn (Pa),p_dyn (hPa),p_tot (Pa),p_tot (hPa),q_conv,q_int_conv,q_rad,q_int_rad,q_combined,q_int_combined,T_rad_equil_comb,Velocity [m/s]
81.30000000000001,2023-07-09 21:01:21.300,92013.54107030472,92.01354107030473,-1.9461710443341294,5.347061013558354,,633457.7073772334,633.4577073772334,7787.404772427269,348.77754435880956,-0.04475748074147596,-2.564414748124635,1.974581664399011e-06,0.3254652705770003,0.03318822131686155,0.03254652705770003,0.032513933375719076,0.0014562142551496802,0.9529718620140853,0.9391274788646339,-0.0,0.0,0.032513933375719076,-0.012388168894301832,30.382659432535984,0.0032630978078232145,168.8119780109361,65.09305411540007,0.6509305411540006,60.00233217397678,0.6509631721320788,83.58868420382724,2.4564019595773314,0.02885949113064344,0.0002916109817223161,83.61754369495789,2.4566935705590542,1135.9085579727664,7795.211277769959
84.2,2023-07-09 21:01:24.200,91001.58167317137,91.00158167317137,-2.0155499345244006,5.537677948271836,,656039.7886635301,656.0397886635301,7786.380230517886,349.13853319275313,-0.04480963076635886,-2.5674027244519273,2.34186404668435e-06,0.3854339275680407,0.039303322497289156,0.038543392756804074,0.03850470353398319,0.0017265372759715022,0.9532700181981838,0.9390316357149748,-0.0,0.0,0.03850470353398319,-0.01251184520723747,30.374807404779872,0.003909459851100109,167.83501408745587,77.08678551360813,0.7708678551360814,71.146140912021,0.7709069497345924,90.94061355999507,2.7089792359697316,0.037801032245323885,0.00038727236850132475,90.9784145922404,2.7093665083382334,1160.3106008152677,7794.203924042516
87.0,2023-07-09 21:01:27.000,90023.51943700318,90.02351943700319,-2.0825270621138077,5.721696094454098,,677840.1220992154,677.8401220992154,7785.213557860338,349.4904743560404,-0.04486145237035567,-2.570371883648543,2.76254672826326e-06,0.45283215100862456,0.0461760286141164,0.04528321510086246,0.04523765537735599,0.002030789459927472,0.9535583201690332,0.9388965675833192,-0.0,0.0,0.04523765537735599,-0.012630963125786487,30.36584686657902,0.004647531384369358,166.84893514917263,90.56643020172491,0.9056643020172491,83.90328745676233,0.9057107773310927,98.54246038877461,2.973753975989804,0.04888141875431275,0.0005074406382826926,98.59134180752893,2.9742614166280887,1184.4342396890647,7793.054198012358
89.9,2023-07-09 21:01:29.900,89009.48269893894,89.00948269893894,-2.1518847627924504,5.912254811462366,,700415.3064277372,700.4153064277373,7783.790877167733,349.85848728275465,-0.04491682508509112,-2.573544506503066,3.253486056564725e-06,0.5342653111022483,0.054479899976265934,0.05342653111022483,0.053372645591806475,0.0023989433097183163,0.953857364406114,0.9387052758549226,-0.0,0.0,0.053372645591806475,-0.012753145241473085,30.354900690301697,0.005550151683972217,165.84105053745074,106.85306222044966,1.0685306222044966,98.7815546560717,1.0685861237213363,106.99825174278158,3.271213809687157,0.06362684944421847,0.0006689314999499598,107.0618785922258,3.2718827411871083,1208.772060447931,7791.649464689964
92.7,2023-07-09 21:01:32.700,88029.39550781611,88.0293955078161,-2.2188378044482127,6.096206782085265,,722207.8001514828,722.2078001514828,7782.175664317801,350.2171377124087,-0.044972128251064364,-2.576713144507045,3.827097771136323e-06,0.6263199465252175,0.06386686039832333,0.06263199465252176,0.06256866896251029,0.002815744735112771,0.9541465304696228,0.9384626200592179,-0.0,0.0,0.06256866896251029,-0.012868165675292143,30.342455056923843,0.006577900572097861,164.93789475735696,125.26398930504351,1.252639893050435,116.15257052781261,1.252705672056156,115.80257476758372,3.582537881003211,0.08196553579223563,0.0008707731620861772,115.88454030337596,3.5834086541653,1233.4234264465315,7790.051996864186
95.60000000000001,2023-07-09 21:01:35.600,87013.24191317364,87.01324191317364,-2.288166163536485,6.2866848837358695,,744773.4341084163,744.7734341084163,7780.208727292246,350.59191308646047,-0.04503155529301563,-2.5801180631997984,4.501877356233308e-06,0.7386045734182696,0.07531670584942561,0.07386045734182696,0.07378558136534953,0.003324927265553924,0.9544464764690392,0.9381407318783483,-0.0,0.0,0.07378558136534953,-0.012980817325137006,30.32728126487803,0.007832950046984479,164.13805982576795,147.72091468365392,1.4772091468365391,136.56988692527528,1.477287476337009,125.69235175152836,3.932006468198626,0.10657143161978526,0.0011413406966405341,125.79892318314815,3.9331478088952685,1258.529561274249,7788.10391107849
98.4,2023-07-09 21:01:38.400,86031.09270090431,86.03109270090431,-2.355085895127891,6.4705453357083496,,766555.0857650408,766.5550857650409,7777.974435137034,350.9567223122813,-0.04509128117545269,-2.583540104191137,5.2995310397818685e-06,0.8672037480039677,0.08843017217948716,0.08672037480039678,0.08663222877899099,0.003909007841621518,0.9547365195657393,0.9377494878546577,-0.0,0.0,0.08663222877899099,-0.01307802386946011,30.310028467290717,0.009262128818547353,163.55775563543853,173.44074960079354,1.7344074960079354,160.681578462076,1.7345001172961207,136.11823032132412,4.297802189233751,0.1375689867709561,0.001479671762613488,136.25579930809508,4.2992818609963654,1284.2539331875746,7785.888320197088
101.30000000000001,2023-07-09 21:01:41.300,85012.78612864051,85.01278612864051,-2.4243736505912192,6.6609118798153455,,789107.5036794498,789.1075036794498,7775.246848713017,351.337193312567,-0.0451559119464455,-2.5872431745957014,6.250892965908861e-06,1.026051595812928,0.10462814476023188,0.10260515958129279,0.1025005685025406,0.004631655142445539,0.955037380085102,0.9372450105807316,-0.0,0.0,0.1025005685025406,-0.013160714361924786,30.28895069091323,0.011010174663038925,163.17494448642313,205.2103191625856,2.052103191625856,189.40671960828428,2.0522132933724864,147.9579158286209,4.708851274101144,0.1797201686265244,0.0019348048199211855,148.13763599724743,4.710786078921064,1310.7677929628312,7783.180672567383
104.10000000000001,2023-07-09 21:01:44.100,84028.5437652705,84.0285437652705,-2.491247176511798,6.8446453827495235,,810874.1158879626,810.8741158879626,7772.137281070809,351.7065276735375,-0.04522137718705637,-2.5909940565875127,7.386824108834844e-06,1.2092032255101826,0.12330441338379391,0.12092032255101826,0.12079670422487206,0.0054663199916463266,0.9553283114489372,0.9366436686260363,-0.0,0.0,0.12079670422487206,-0.013218322831254459,30.26490769870946,0.01300797826005146,162.97114810801,241.8406451020365,2.418406451020365,223.65918288042212,2.4185365308029656,160.49384402360923,5.13979318453563,0.2332443084301274,0.002506916068640243,160.72708833203936,5.142300100604269,1338.120776072588,7780.090963312635
107.0,2023-07-09 21:01:47.000,83008.0576700806,83.0080576700806,-2.5604784137807064,7.034856644392276,,833408.1377389207,833.4081377389208,7768.327225442856,352.0903792954178,-0.04529283743112415,-2.5950884269755714,8.747000720177311e-06,1.4357013102856948,0.14640079030919784,0.1435701310285695,0.1434228933665526,0.006500475515460407,0.9556300964611062,0.9358794133191447,-0.0,0.0,0.1434228933665526,-0.013250207626501087,30.235437758374548,0.01546238653594628,162.87700066283517,287.14026205713895,2.8714026205713896,264.6080739068547,2.871557244436749,174.70996875112036,5.624815310441409,0.30619178771473715,0.0032805501465372204,175.0161605388351,5.628095860587942,1366.3141596129517,7776.302174989672
