Time [s],Altitude [km],Lat [deg],Lon [deg],Velocity [km/s],Downrange [km],Mass [kg],Temp [K],Datetime,d_m [kg],ObjectID,ObjectName,Part,Material,ReferenceArea [m^2],scenario,reentry_vehicle
0.0,80.0,0.0,0.0,7.0,0.0,50.0,300.0,2023-07-09 21:00:00.000,,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
0.1,79.969,0.002,0.006,6.993,0.691,50.0,308.768,2023-07-09 21:00:00.100,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
0.55,79.832,0.012,0.032,6.963,3.792,50.0,347.948,2023-07-09 21:00:00.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
1.55,79.529,0.033,0.09,6.895,10.634,50.0,432.628,2023-07-09 21:00:01.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
2.55,79.227,0.054,0.147,6.825,17.409,50.0,512.673,2023-07-09 21:00:02.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
3.55,78.928,0.075,0.203,6.753,24.114,50.0,587.875,2023-07-09 21:00:03.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
4.55,78.629,0.095,0.259,6.679,30.747,50.0,657.704,2023-07-09 21:00:04.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
5.55,78.333,0.115,0.315,6.604,37.307,50.0,721.482,2023-07-09 21:00:05.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
6.55,78.038,0.135,0.369,6.526,43.791,50.0,778.794,2023-07-09 21:00:06.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
7.55,77.744,0.155,0.423,6.447,50.198,50.0,829.361,2023-07-09 21:00:07.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
8.55,77.452,0.175,0.477,6.367,56.527,50.0,872.478,2023-07-09 21:00:08.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
9.55,77.162,0.194,0.529,6.285,62.775,50.0,907.729,2023-07-09 21:00:09.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
10.55,76.872,0.213,0.582,6.201,68.941,50.0,935.955,2023-07-09 21:00:10.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
11.55,76.584,0.232,0.633,6.116,75.025,50.0,958.12,2023-07-09 21:00:11.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
12.55,76.297,0.25,0.683,6.029,81.023,50.0,974.964,2023-07-09 21:00:12.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
13.55,76.011,0.269,0.733,5.941,86.936,50.0,987.229,2023-07-09 21:00:13.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
14.55,75.726,0.287,0.782,5.852,92.761,50.0,995.642,2023-07-09 21:00:14.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
15.55,75.442,0.304,0.831,5.762,98.497,50.0,1000.867,2023-07-09 21:00:15.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
16.55,75.159,0.322,0.878,5.671,104.145,50.0,1003.486,2023-07-09 21:00:16.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
17.55,74.876,0.339,0.925,5.579,109.701,50.0,1003.993,2023-07-09 21:00:17.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
18.55,74.594,0.356,0.971,5.486,115.167,50.0,1002.795,2023-07-09 21:00:18.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
19.55,74.313,0.372,1.017,5.392,120.54,50.0,1000.22,2023-07-09 21:00:19.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
20.55,74.033,0.389,1.061,5.297,125.82,50.0,996.531,2023-07-09 21:00:20.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
21.55,73.753,0.405,1.105,5.202,131.006,50.0,991.938,2023-07-09 21:00:21.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
22.55,73.474,0.421,1.148,5.107,136.098,50.0,986.606,2023-07-09 21:00:22.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
23.55,73.195,0.436,1.19,5.011,141.096,50.0,980.665,2023-07-09 21:00:23.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
24.55,72.916,0.451,1.232,4.915,145.999,50.0,974.219,2023-07-09 21:00:24.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
25.55,72.638,0.466,1.272,4.818,150.806,50.0,967.352,2023-07-09 21:00:25.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
26.55,72.36,0.481,1.312,4.722,155.518,50.0,960.13,2023-07-09 21:00:26.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
27.55,72.082,0.495,1.351,4.625,160.135,50.0,952.608,2023-07-09 21:00:27.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
28.55,71.805,0.509,1.389,4.529,164.656,50.0,944.831,2023-07-09 21:00:28.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
29.55,71.527,0.522,1.426,4.433,169.082,50.0,936.823,2023-07-09 21:00:29.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
30.55,71.25,0.536,1.463,4.337,173.413,50.0,928.622,2023-07-09 21:00:30.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
31.55,70.973,0.549,1.499,4.242,177.65,50.0,920.255,2023-07-09 21:00:31.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
32.55,70.696,0.562,1.533,4.147,181.792,50.0,911.745,2023-07-09 21:00:32.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
33.55,70.419,0.574,1.568,4.053,185.841,50.0,903.116,2023-07-09 21:00:33.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
34.55,70.141,0.586,1.601,3.959,189.797,50.0,894.395,2023-07-09 21:00:34.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
35.55,69.864,0.598,1.634,3.867,193.661,50.0,885.601,2023-07-09 21:00:35.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
36.55,69.587,0.61,1.665,3.775,197.434,50.0,876.727,2023-07-09 21:00:36.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
37.55,69.31,0.621,1.696,3.684,201.116,50.0,867.787,2023-07-09 21:00:37.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
38.55,69.032,0.632,1.727,3.594,204.708,50.0,858.801,2023-07-09 21:00:38.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
39.55,68.754,0.643,1.756,3.505,208.212,50.0,849.785,2023-07-09 21:00:39.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
40.55,68.477,0.654,1.785,3.418,211.628,50.0,840.761,2023-07-09 21:00:40.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
41.55,68.199,0.664,1.813,3.331,214.958,50.0,831.753,2023-07-09 21:00:41.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
42.55,67.921,0.674,1.841,3.246,218.203,50.0,822.772,2023-07-09 21:00:42.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
43.55,67.642,0.684,1.867,3.161,221.363,50.0,813.827,2023-07-09 21:00:43.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
44.55,67.364,0.693,1.893,3.079,224.44,50.0,804.929,2023-07-09 21:00:44.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
45.55,67.085,0.703,1.918,2.997,227.436,50.0,796.112,2023-07-09 21:00:45.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
46.55,66.806,0.712,1.943,2.917,230.351,50.0,787.385,2023-07-09 21:00:46.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
47.55,66.527,0.72,1.967,2.838,233.187,50.0,778.751,2023-07-09 21:00:47.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
48.55,66.248,0.729,1.99,2.761,235.946,50.0,770.217,2023-07-09 21:00:48.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
49.55,65.968,0.737,2.013,2.685,238.629,50.0,761.786,2023-07-09 21:00:49.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
50.55,65.689,0.745,2.035,2.61,241.236,50.0,753.464,2023-07-09 21:00:50.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
51.55,65.409,0.753,2.056,2.538,243.771,50.0,745.254,2023-07-09 21:00:51.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
52.55,65.129,0.761,2.077,2.466,246.234,50.0,737.16,2023-07-09 21:00:52.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
53.55,64.848,0.768,2.097,2.396,248.626,50.0,729.185,2023-07-09 21:00:53.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
54.55,64.568,0.775,2.117,2.328,250.949,50.0,721.332,2023-07-09 21:00:54.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
55.55,64.287,0.782,2.136,2.261,253.206,50.0,713.602,2023-07-09 21:00:55.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
56.55,64.006,0.789,2.154,2.196,255.396,50.0,705.998,2023-07-09 21:00:56.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
57.55,63.725,0.796,2.172,2.132,257.522,50.0,698.522,2023-07-09 21:00:57.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
58.55,63.444,0.802,2.19,2.07,259.584,50.0,691.175,2023-07-09 21:00:58.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
59.55,63.163,0.808,2.207,2.009,261.586,50.0,683.959,2023-07-09 21:00:59.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
60.55,62.881,0.814,2.223,1.949,263.527,50.0,676.867,2023-07-09 21:01:00.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
61.55,62.6,0.82,2.239,1.892,265.409,50.0,669.901,2023-07-09 21:01:01.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
62.55,62.318,0.826,2.254,1.835,267.235,50.0,663.063,2023-07-09 21:01:02.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
63.55,62.036,0.831,2.269,1.78,269.005,50.0,656.353,2023-07-09 21:01:03.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
64.55,61.754,0.836,2.284,1.727,270.72,50.0,649.773,2023-07-09 21:01:04.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
65.55,61.472,0.842,2.298,1.675,272.383,50.0,643.322,2023-07-09 21:01:05.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
66.55,61.19,0.847,2.311,1.624,273.994,50.0,637.001,2023-07-09 21:01:06.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
67.55,60.908,0.851,2.324,1.575,275.554,50.0,630.809,2023-07-09 21:01:07.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
68.55,60.626,0.856,2.337,1.527,277.066,50.0,624.746,2023-07-09 21:01:08.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
69.55,60.344,0.861,2.349,1.481,278.531,50.0,618.811,2023-07-09 21:01:09.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
70.55,60.061,0.865,2.361,1.435,279.949,50.0,613.002,2023-07-09 21:01:10.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
71.55,59.779,0.869,2.373,1.391,281.322,50.0,607.319,2023-07-09 21:01:11.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
72.55,59.497,0.873,2.384,1.349,282.651,50.0,601.76,2023-07-09 21:01:12.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
73.55,59.214,0.877,2.395,1.307,283.938,50.0,596.323,2023-07-09 21:01:13.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
74.55,58.932,0.881,2.406,1.267,285.183,50.0,591.008,2023-07-09 21:01:14.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
75.55,58.65,0.885,2.416,1.228,286.388,50.0,585.812,2023-07-09 21:01:15.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
76.55,58.367,0.889,2.426,1.19,287.554,50.0,580.734,2023-07-09 21:01:16.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
77.55,58.085,0.892,2.435,1.154,288.682,50.0,575.772,2023-07-09 21:01:17.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
78.55,57.803,0.896,2.444,1.118,289.774,50.0,570.923,2023-07-09 21:01:18.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
79.55,57.521,0.899,2.453,1.084,290.829,50.0,566.185,2023-07-09 21:01:19.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
80.55,57.239,0.902,2.462,1.05,291.85,50.0,561.557,2023-07-09 21:01:20.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
81.55,56.957,0.905,2.47,1.018,292.837,50.0,557.036,2023-07-09 21:01:21.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
82.55,56.675,0.908,2.478,0.987,293.791,50.0,552.619,2023-07-09 21:01:22.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
83.55,56.394,0.911,2.486,0.957,294.714,50.0,548.306,2023-07-09 21:01:23.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
84.55,56.112,0.914,2.493,0.928,295.606,50.0,544.093,2023-07-09 21:01:24.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
85.55,55.831,0.916,2.501,0.899,296.468,50.0,539.978,2023-07-09 21:01:25.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
86.55,55.55,0.919,2.508,0.872,297.301,50.0,535.96,2023-07-09 21:01:26.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
87.55,55.269,0.922,2.514,0.846,298.106,50.0,532.036,2023-07-09 21:01:27.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
88.55,54.988,0.924,2.521,0.82,298.884,50.0,528.203,2023-07-09 21:01:28.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
89.55,54.707,0.926,2.527,0.795,299.635,50.0,524.459,2023-07-09 21:01:29.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
90.55,54.426,0.929,2.533,0.772,300.361,50.0,520.803,2023-07-09 21:01:30.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
91.55,54.146,0.931,2.539,0.749,301.062,50.0,517.232,2023-07-09 21:01:31.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
92.55,53.866,0.933,2.545,0.726,301.739,50.0,513.745,2023-07-09 21:01:32.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
93.55,53.586,0.935,2.551,0.705,302.393,50.0,510.338,2023-07-09 21:01:33.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
94.55,53.307,0.937,2.556,0.684,303.024,50.0,507.009,2023-07-09 21:01:34.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
95.55,53.027,0.939,2.561,0.665,303.634,50.0,503.758,2023-07-09 21:01:35.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
96.55,52.748,0.941,2.566,0.645,304.222,50.0,500.582,2023-07-09 21:01:36.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
97.55,52.469,0.942,2.571,0.627,304.789,50.0,497.478,2023-07-09 21:01:37.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
98.55,52.191,0.944,2.575,0.609,305.337,50.0,494.446,2023-07-09 21:01:38.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
99.55,51.913,0.946,2.58,0.592,305.865,50.0,491.482,2023-07-09 21:01:39.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
100.55,51.635,0.947,2.584,0.576,306.375,50.0,488.586,2023-07-09 21:01:40.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
101.55,51.357,0.949,2.588,0.56,306.867,50.0,485.755,2023-07-09 21:01:41.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
102.55,51.08,0.95,2.592,0.544,307.341,50.0,482.984,2023-07-09 21:01:42.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
103.55,50.804,0.952,2.596,0.53,307.798,50.0,480.272,2023-07-09 21:01:43.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
104.55,50.528,0.953,2.6,0.515,308.238,50.0,477.616,2023-07-09 21:01:44.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
105.55,50.252,0.955,2.603,0.502,308.662,50.0,475.016,2023-07-09 21:01:45.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
106.55,49.977,0.956,2.607,0.488,309.071,50.0,472.47,2023-07-09 21:01:46.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
107.55,49.702,0.957,2.61,0.476,309.464,50.0,469.976,2023-07-09 21:01:47.550,0.0,58c280bd-bc90-4ec2-81cf-8f3b420ef221,LCH4_tank_-_AA2198,LCH4_tank,AA2198,3.14159,Test_Remi,Test_Remi
